Sr	Status	CR16	CR17	CR18	CR20	CR21	CR22	CR23	CR24	CR25	CR26	CR31	CR34	CR36	CR42	CZR38	CR56	CZR49	CR63	CR64	CR65	CR66	CR68	CZR56	CR72	CR73	CR82	CR83
30000	Current	1	4	1	3	3	3	1	2	1	4	2	2	4	1	1	4	2	3	2	2	3	1	2	1	1	4	1
30001	Current	1	1	1	3	3	1	2	2	2	4	2	1	4	1	5	6	2	2	2	1	2	1	3	2	3	4	1
30003	Current	3	3	2	3	3	1	3	3	3	4	2	2	3	1	2	6	2	4	3	2	3	3	4	2	2	3	1
30004	Current	1	4	1	2	2	2	2	2	3	3	2	2	3	1	2	3	2	4	3	2	3	2	3	2	2	5	1
30008	Current	1	3	2	3	3	3	2	2	3	4	2	3	4	1	5	6	1	3	2	2	3	2	3	2	2	5	2
30013	Current	2	4	2	1	3	1	2	2	3	4	4	3	4	4	2	3	2	3		2	3	2	3	2	1	4	1
30017	Current	2	4	2	1	1	1	1	1	2	1	4	4	1	5	5	6	3	4	2	1	2	1	2	1	2	1	2
30018	Current	2	4	2	1	1	1	1	1	3	1	4	4	1	5	5	6	3	4	2	1	2	1	2	1	2	1	2
30019	Current	1	4	2	3	3	1	3	3	2	3	3	2	3	2	3	6	3	4	2	2	3	2	3	2	1	3	2
30035	Current	3	3	2	3	3	2	2	2	2	4	2	2	4	5	3	3	2	2	2	1	2	2	1	2	3	3	2
30036	Current	1	3	2	3	3	2	1	1	3	4	3	3	2	1	5	6	2	3	2	2	3	3	3	2	1	3	2
30037	Current	2	4	1	3	3	1	2	2	3	4	3	2	4	3	3	6	2	3	3	2	3	2	3	2	2	3	2
30039	Current	2	3	1	3	3	2	3	3	3	4	2	1	3	4	3	3	2	2	2	1	2	2	1	2	3	3	2
30045	Current	2			3	3	1	3	3	3	4	3	2	4	5	5	6	2	3	2	2	2	2	3	2	1	5	1
30046	Current	2	3	1	3	3	1	3	3	3	4	2	3	3	5	4	3	2	4	2	1	3	3	4	2	3	5	1
30047	Current	3	3	1	3	3	3	3	3	3	4	2	2	3	5	5	6	2	3	2	2	4			2	1	6	1
30051	Current	3	3	1	1	1	1	1	2	2	4	4	3	2	2	5	6	2	3	2	2	4	1	1	2	3	5	2
30055	Current	1	3	1	3	3	3	3	3	3	4	2	1	4	1	3	6	2	2	3	2	4	2	2	2	1	5	2
30057	Current	1	4	1	3	3	3	3	2	2	4	3	2	3	1	4	6	1	3	2	1	3	2	3	2	3	5	2
30059	Current	3	1	1	3	3	1	1	1	2	1	3	3	4	4	3	6	2	2	2	1	2	2	2	2	1	5	2
30061	Current	1			1	1	1	1	1	3	3	3	2	4	1	4	6	2	4	2	2	2	2	3	2	3	6	2
30066	Current	1	4	1	3	1	1	3	3	2	4	3	3	4	1	5	6	2	4	3	2	4	3	4	2	1	5	2
30068	Current	3	3	1	3	3	1	3	2	2	4	2	2	4	1	3	5	3	4	3	2	4	3	4	2	1	5	2
30076	Current	1	4	1	3	1	1	3	1	2	4	2	2	4	1	2	6	2	3	3	2	4	3	3	2	2	4	1
30094	Current	1	3	1	2	2	1		2	1	3	2	2	3	1	4	5	2	4	2	2	3	2	3	2	2	3	2
