Country	Status	CR17	CR18	PHR33	CR14	CR15	CR16	CR19	CR20	CR21	CR22	CR23	CR24	CR25	CR26	CR27	CR30	CR31	CR32	CR33	PHR38	CR41	CR42	CR43	CR44	CR45	PHR44	PHR45	CR48	CR49	CR52	CR54	CR55	PHR55
Philippines	Ever	2	3	2	3	2	1	3	3	3	2	2	2	2	4	1	2	3	2	2	5	1	2	3	2	3	1	1	3	2	3	2	2	1
Philippines	Ever	2	2	2	3	2	1	3	1	2	3	2	2	2	4	2	2	4	5	5	2		1	3	2	2	1	1	2	2	1	5	2	1
Philippines	Ever	3	3	3	1	3	1	2	1	2	1	2	2	3	4	1	2	4	4	3	3	1	2	3	1	4	1	2	3	2	1	6	2	2
Philippines	Ever	1	1	2	3	1	1	4	2	2	2	2	2	2	4	2	2	4	3	2	5	2	3	3	2	3	2	2	1	2	1	7	2	1
Philippines	Ever	1	1	2	1	1	1	2	1	2	2	2	2	3	4	2	2	4	1	2	3	1	3	3	2	4	2	2	3	2	1	7	2	1
Philippines	Ever	3	2	3	1	2	1	2	1	2	2	2	2	2	4	2	1	4	1	3	3	2	4	3	2	3	2	3	3	2	1	6	2	1
Philippines	Ever	1	1	2	3	1	1	1	2	2	3	3	2	2	4	2	3	3	3	3	5	2	1	3	2	4	2	2	3	2	1	3	1	1
Philippines	Ever	1	1	3	1	1	1	2	2	3	2	2	2	3	4	2	2	4	1	4	5	1	3	2	2	4	3	2	1	2	1	6	1	1
Philippines	Ever	2	1	3	1	1	1	3	3	2	3	2	2	3	4	2	2	4	1	1	2	1	1	3	2	3	2	3	1	2	2	7	1	1
Philippines	Ever	2	2	2	3	2	1	4	1	1	1	1	2	2	4	2	2	4	5	4	6	1	4	2	2	2	1	3	1	2	1	7	1	1
Philippines	Ever	1	1	2	2	1	1	3	1	2	2	2	2	2	4	2	2	4	3	3	3	1	2	3	2	3	2	2	3	2	1	4	2	1
Philippines	Ever	2	2	3	3	1	1	3	1	2	2	2	2	2	4	2	2	4	2	2	3	1	2	2	2	3	2	2	3	2	1	6	2	1
Philippines	Ever	2	1	2	2	2	1	2	2	1	2	2	3	3	4	3	2	1	5	1	3	1	4	2	2	2	3	3	1	2	2	6	1	1
Philippines	Ever	3	3	3	2	2	1	2	3	3	2	2	2	3	4	2	2	4	3	4	3	1	3	4	2	3	1	2	3	2	1	5	2	1
Philippines	Ever	2	2	3	3	2	1	3	3	3	2	2	2	2	4	2	2	4	3	2	5	1	3	3	1	3	2	3	3	2	1	7	1	1
Philippines	Ever	1	1	2	1	1	1	1	3	3	3	3	2	2	4	2	1	4	5	2	6	1	2	2	2	2	1		1	2	1	7	1	1
Philippines	Ever	1	1	3	3	3	1	3	3	2	1	2	2	2	4	3	2	4	5	5	3	1	3	3	1	4	1	2	4	2	1	6	1	1
Philippines	Ever	2	2	3	3	2	1	3	3	2	3	2	2	2	4	2	1	4	2	2	5	1	2	3	2	3	3	1	3	1	1	7	1	1
Philippines	Ever	1	1	2	1	1	1	2	3	3	3	3	3	3	4	1	2	4	1	5	6	1	2	4	2	3	2	3	4	2	1	5		
Philippines	Ever	2	2	3	3	2	1	2	1	1	2	2	2	1	4	2	1	4	4	5	6	1	2	2	1	2	1	1	2	2	1	6	2	1
Philippines	Ever	2	2	2	3	1	1	2	3	3	3	2	2	2	4	2	2	4	5	5	6	1	3	3	2	2	2	2	3	2	1	5	1	1
Philippines	Ever	2	2	2	3	2	1	3	3	3	3	2	2	2	4	2	3	4	3	1	2	2	3	2		3	3	3	2	2	2			
Philippines	Ever	2	2	2	3	1	1	4	3	3	3	3	2	3	4	2	2	4	5	5	5	1	3	3	2	3	2	2	3	2	1	5	1	1
Philippines	Ever	2	2	2	3	1	1	3	3	3	3	2	2	3	4	2	2	4	5	5	5	1	3	3	2	3	2	2	3	2	1	5	1	1
Philippines	Ever	1	1	2	1	1	1	4	3	3	2	1	1	2	4	2	1	4	1	1	5	1	1	3	2	2	3	2	1	2	2	4	1	1
Philippines	Ever	2	2	2	3	1	1	3	1	1	2	2	2	2	4	2	1	4	2	3	5	1	3	2	2	3	2	2	2	2	1	6	2	1
Philippines	Ever	1	1	2	3	1	1	3	2	2	2	2	2	2	4	2	2	4	2	3	6	1	2	3	2	3	3	2	3	2	3	5	2	1
Philippines	Ever	1	2	3	1	1	1	3	3	3	3	2	2	1	4	2	3	4	5	3	3	1	3	3	2	3	1	2	3	2	1	6	2	1
Philippines	Ever	1	1	3	3	1	1	3	2	2	3	2	2	2	4	2	2	4	5	5	5	1	2	3	2	3	2	2	3	2	3	5	2	1
Philippines	Ever	1	1	3	3	1	1	3	2	2	3	2	2	2	4	2	1	4	5	5	5	1	2	3	2	3	2	2	1	2	3	5	2	1
Philippines	Ever	1	1		1	1	1	4	3	3	2	2	2	2	4	3	1	4	1	5	5	1	3	2	2	3	1	2	4	2	1	6	2	1
Philippines	Ever	1	1	2	3	1	1	3	1	3	3	3	2	3	4	3	3	4	5	5	3	1	1	3	2	4	2	2	1	2	1	6	2	1
Philippines	Ever	2	2	2	3	1	1	1	3	3	3	2	2	2	4	3	1	4	1	2	6	2	3	3	2	3	2	2	3	2	2	6	1	1
Philippines	Ever	2	1	2	3	2	1	2	3	3	3	3	3	2	4	2	2	4	3	4	2		1	2	2	2	2	2	3	2	1	5	1	1
Philippines	Ever	2	2	2	1	2	1	3	3	3	3	2	2		4	2	1	4	2	1	3	1	3	4	2		2	3	3		2		1	1
Philippines	Ever	1	1	2	3	1	2	2	2	3	3	2	2	2	4	2	4	4	2	2	2	1	2	2	2	2	3	2	2	2	1	7	1	1
Philippines	Ever	1	1	2	3	1	1	3	2	3	2	3	3	2	4	2	1	4	1	3	2	1	2	3	2	4	3	3	2	2	3	5	1	1
Philippines	Ever	1	1	2	1	1	1	2	2	3	2	3	3	2	4	2	1	4	2	4	5	2	3	3	2	4	3	3	2	2	3	5	1	1
Philippines	Ever	1	1	3	1	1	1	2	3	2	2	2	2	2	4	1	2	3	2	1	3	1	2	3	2	2	3	3	1	2	3	5	1	1
Philippines	Ever	1	1	2	3	1	1	1	3	3	2	3	2	2	4	2	2	4	1	1	5	1	2	3	2	4	3	3	4	2	1	7	1	1
Philippines	Ever	3	3	2	3	3	2	1	1	3	2	2	2	2	4	2	2	4	3	2	4	2	1	3	2	3	2	3	3	2	1	5	2	1
Philippines	Ever	1	3	2	3	1	1	3	3	3	2	2	2	2	4	2	2	4	3	2	2	2	3	3	2	4	3	3	4	2	1	4	2	1
Philippines	Ever	1	2	2	1	1	1	2	3	3	3	3	3	3	4	2	2	4	1	5	6	1	3	3	2	3	2	2	3	2	1	4	1	1
Philippines	Ever	1	3	3	3	1	1	1	3	2	3	2	2	2	4	2	1	4	1	4	2	1	3	2	2	4	1	2	4	2	1	3	1	1
Philippines	Ever	2	2	2	3	2	1	3	3	2	2	3	2	1	4	2	1	4	3	3	4	1	2	3	2	3	2	2	3	2	3	7	2	2
Philippines	Ever	2	2	3	3	2	1	1	3	3	3	2	2	2	4	2	1	4	5	3	3		1	4	2	3	3	3	4	2	1	6	2	2
Philippines	Ever	1	1	3	3	1	1	3	1	1	2	2	2	1	4	2	4	4	1	1	3	3	2	2	1	2	1	1	2	2	1	2	1	1
Philippines	Ever	2	2	3	3	1	1	2	1	1	2	1	1	2	4	2	2	4	5	5	3	1	2	3	2	2	2	2	3	2	2	4	1	1
Philippines	Ever	1	1	2	4	1	1	3	1	1	1	2	2	2	4	2	1	4	2	2	5	1	2	3	1	3	3	2	2	2	1	3	1	1
Philippines	Ever	1	1	2	1	1	1	4	1	1	2	2	2	2	4	2	3	4	1	2	3	1	2	3	2	3	2	2	3	2	1	4	2	1
Philippines	Ever	2	2	2	1	2	1	3	1	1	1	3	2	2		4	2	4	1	1	6	1	1	3	2	3	1	1	3	2	2	4	2	1
Philippines	Ever	1	1	2	3	2	1	1	3	3	3	2	2	2	4	2	2	4	2	2	5	1	3	3	2	3	2	3	4	2	1	5	2	1
Philippines	Ever	2	1	2	3	3	1	3	2	2	3	2	2	2	2	2	1	4	2	4	2	1	3	2	2	3	2	2	2	2	2	3	2	2
Philippines	Ever	1	1	3	1	1	1	3	1	2	2	1	2	2	3	3	2	3	1	1	5	1	3	2	2	4	2	3	4	2	2	4	1	1
Philippines	Ever	1	1	3	1	1	1	3	3	3	3	2	2	2	4	2	1	4	1	2	2	1	2	2	2	3	2	2	3	2	3	3	2	1
Philippines	Ever	1	1	3	1	1	1	4	2	2	2	1	1	2	4	3	3	4	3	5	2	2	3	2	2	4	1	2	3	2	1	6	1	1
Philippines	Ever	3	2	3	1	2	1	2		3	2	3	3	2	4	4	2	4	1	3	6	2	2	3	1	2	1	1	2	2	1	5	2	
Philippines	Ever	1	1	2	1	1	1	1	1	1	2	2	2	2	4	2	2	4	2	2	5	1	1	3	2	3	1	1	3	2	1	7	2	1
Philippines	Ever	3	3	3	3	3	1	4	3	3	3	3	3	2	4	2	3	4	2	1	5	1	4	3	2	3	2	3	3	2	1	5	2	1
Philippines	Ever	1	1	2	3	1	1	4	2	1	1			2	4	2		1	2	3	6		1	3	2	2	2	3	1	2	2	4	2	1
Philippines	Ever	3	2	3	2	2	1	4	3	3	3	2	2	2	4	2	2	4	1	1	5	2	2	2	1	3	1	2	3	2	1	4	2	1
Philippines	Ever	1	1	2	3	1	1	4	3	3	3	3	3	2	4	2	2	4	2	2	5	1	3	3	2	3	2	2	3	2	1	2	2	1
Philippines	Ever	2	2	2	2	3	1	4	3	3	2	1	2	3	4	1	2	4	3	5	5	1	3	3	2	3	2	3	4	2	3	4	2	1
Philippines	Ever	3	3	3	3	3	1	3	3	3	2	2	2	2	4	2	2	4	5	5	3	1	3	2	2	3	2	2	3	2	1	4	2	1
Philippines	Ever	3	1	2	1	3	1	4	3	3	2	2	3	2	4	2	1	4	1	3	4	1	2	2	1	2	1	1	2	2	1	5	2	1
Philippines	Ever	1	1	3	3	1	1	2	1	2	3	3	3	2	4	3	2	4	2	3	5	2	2	2	2	2	1	1	2	2	1	6	2	1
Philippines	Ever	2	1	3	1	1	1	1	2	1	3	1	2	2	4	2	2	3	3	3	5	1	3	2	2	2	2	2	2	2	1	6	1	1
Philippines	Ever	2	1	2	3	1	1	3	1	2	3	3	3	2	4	2	2	4	1	1	6	1	3	3	2	4	3	3	4	2	1	6	1	1
Philippines	Ever	3	2	3	1	1	1	3	1	2	3	2	2	1	4	2	1	4	1	1	5	3	3	2	2	4	3	2	3	2	1	6	1	1
Philippines	Ever	2	2	2	3	2	1	3	2	1	3	1	2	2	4	2	3	4	1	1	2	1	3	2	1	2	3	3	2		2	1	2	2
Philippines	Ever	1	2	2	3	1	1	3	1	2	3	3	2	3	4	2	2	4	1	1	5	1	1	2	2	2	1	1	2	2	1	6	2	1
Philippines	Ever	1	2	2	1	1	1	4	1	2	2	2	2	2	4	2	2	4	1	5	5	1	3	2	2	2	2	1	3	2	2	5	2	1
Philippines	Ever	1	1	2	1	1	1	1	3	3	3	2	2	3	4	2	2	3	1	3	6	1	3	3	2	3	3	3	4	2	1	5	2	1
Philippines	Ever	3	3	3	1	2	1	2	3	2	3	1	3	2	4	2	3	4	2	2	3	3	3	3	2	4	2	3	4		2	1	1	1
Philippines	Ever	1	1	2	1	1	1	2	3	3	3	2	2	2	4	2	1	4	1	3	6	1	4	2	2	2	2	1	3	2	1	5	2	2
Philippines	Ever	2	3	2		2	1	3	3	2	3	2	2	3	4	2	2	4	1	5	5	2	2	2	2	3	2	1	3	2	1	5	1	2
Philippines	Ever	3	2	3	5	3	2	3	3	2	2	1	2	2	2	2	3	3	3	4	3	2	3	2	2	4	1	3	1	2	1	4		2
Philippines	Ever	1	1	3	3	2	1	3	1	1	2	3	3	2	4	1	2	3	3	4	6	1	2	2	2	3	2	2	3	2	1	6	2	1
Philippines	Ever	1	1	3	3	1	1	4	3	2	1	2	2	2	4	2	2	4	3	5	6	2	3	3	2	4	3	3	3	2	1	4	2	1
Philippines	Ever	2	3	3	3	1	2	3	1	2	2	2	2	2	4	2	2	4	2	2	6	3	3	2	2	4	3	3	1	1	1	3	1	1
Philippines	Ever	1	1	3	3	1	1	2	1	2	2	2	2	2	4	1	2	4	3	5	6	1	2	2	2	3	1	1	2	2	2	3	1	1
Philippines	Ever	1	1	2	3	1	1	1	1	2	3	3	3	2	4	2	2	4	1	3	5	3	4	2	1	2	2	3	3	2	1	5	2	1
Philippines	Ever	1	2	2	3	2	1	3	1	1	3	2	2	2	4	2	2	4	5	5	2	1	2	3	2	2	1	1	2	2	1	4	2	1
Philippines	Ever	1	1	2	3	1	1	3	2	2	2	2	2	2	4	1	1	4	1	2	6	1	3	3	2	3	3	2	4	2	1	5	2	1
Philippines	Ever	1	1	3	1	1	1	3	2	1	2	3	2	2	4	2	3	4	1	2	5	1	3	2	2	4	3	3	4	2	1	3	1	1
Philippines	Ever	1	1	3	1	1	1	3	2	2	2	2	2	2	4	2	1	4	2	4	3	1	3	2	2	3	3	2	4	2	1	2	1	1
Philippines	Ever	1	3	2	3	1	1	1	1	2	2	2	2	2	4	2	2	4	1	5	5	1	3	2	2	2	1	1	2	2	1	5	1	1
Philippines	Ever	4	3	3	3	3	1	4	1	2	2	2	2	2	4	3	1	4	5	5	4	1	3	3	2	3	2	1	4	2	1	5	1	1
Philippines	Ever	1	1	3	1	1	1	4	3	2	3	2	2	2	4	2	1	4	1	1	3	1	3	3	2	3	3	3	4	2	1	5	1	1
Philippines	Ever	1	2	3	1	1	1	3	1	2	2	2	2	1	1	4	2	4	1	1	2	1	2	3	2	4	1	3	1	2	1	2	1	2
