Sr	Status	CR16	CR17	CR18	CR20	CR21	CR22	CR23	CR24	CR25	CR26	CR31	CR34	CR36	CR42	CZR38	CR56	CZR49	CR63	CR64	CR65	CR66	CR68	CZR56	CR72	CR73	CR82	CR83
30000	Current	1	4	1	3	3	3	1	2	1	4	2	2	4	1	1	4	2	3	2	2	3	1	2	1	1	4	1
30001	Current	1	1	1	3	3	1	2	2	2	4	2	1	4	1	5	6	2	2	2	1	2	1	3	2	3	4	1
30002	Ever	1	3	2	3	3	1	3	3	3	4	4	1	4	1	3	6	3	1	3	2	3	2	1	2	2	4	1
30003	Current	3	3	2	3	3	1	3	3	3	4	2	2	3	1	2	6	2	4	3	2	3	3	4	2	2	3	1
30004	Current	1	4	1	2	2	2	2	2	3	3	2	2	3	1	2	3	2	4	3	2	3	2	3	2	2	5	1
30005	Never	1	1	2	2	2	1	2	2	3	4	2	2	4	1	1	1	3	4	3	2	4	3	3	2	1	2	1
30006	Never	3	1	1	2	2	2	2	2	1	4	3	1	4	1	3	1	1	3	2	2	3	2	2	2	1	4	1
30007	Ever	2	2	1	3	3	1	3	3	2	4	2	1	4	2	3	4	2	3	2	2	3	2	3	2	1	4	2
30008	Current	1	3	2	3	3	3	2	2	3	4	2	3	4	1	5	6	1	3	2	2	3	2	3	2	2	5	2
30009	Ever	2	2	2	3	3	3	2	2	3	4	3	3	4	2	1	6	1	3	2	2	3	2	3	2	3	4	2
30010	Never	2	2	1	1	1	2	2	3	3	4	2	2	4	1	5	1	1	3	2	2	4	3	3	1	1	4	2
30011	Never	1	1	2	3	3	3	2	2	1	4	2	4	4	1	2	1	2	3	3	2	3	3	3	2	3	3	2
30012	Never	4	2	2	1	1	3	3	3	2	4	2	1	4	3	4	1	3	4	3	2	4	3	4	2	2	4	2
30013	Current	2	4	2	1	3	1	2	2	3	4	4	3	4	4	2	3	2	3		2	3	2	3	2	1	4	1
30014	Never	1	1	1	2	3	1	2	2	2	4	1	1	4	1	1	1	2	2	3	2	4	3	4	2	1	4	1
30015	Never	1	1	2	3	2	1	1	2	3	4	1	1	4	1	3	1	2	3	2	1	2	1	3	2	1	3	1
30016	Never	2	1	1	2	2	1	2	2	2	4	1	1	4	5	5	1	2	2	3	2	3	3	2	1	2	4	1
30017	Current	2	4	2	1	1	1	1	1	2	1	4	4	1	5	5	6	3	4	2	1	2	1	2	1	2	1	2
30018	Current	2	4	2	1	1	1	1	1	3	1	4	4	1	5	5	6	3	4	2	1	2	1	2	1	2	1	2
30019	Current	1	4	2	3	3	1	3	3	2	3	3	2	3	2	3	6	3	4	2	2	3	2	3	2	1	3	2
30020	Ever	1	2	1	3	3	1	3	2	3	4	2	1	4	1	2	6	2	3	2	2	3	3	3	2	1	4	2
30021	Ever	1	3	1	1	3	1	3	3	3	4	1	1	2	1	2	6	1	3	2	2	2	1	3	2	1	4	2
30022	Never	1	2	1	3	2	1	2	2	3	4	2	1	2	1	3	1	2	2	3	2	3	2	3	2	1	3	2
30023	Never	1	1	1	1	1	1	2	2	2	4	1	1	4	1	2	1	2	3	3	2	3	2	3	2	1	3	2
30024	Ever	3	1	1	3	3	1	1	2	2	4	2	1	2	2	1	4	2	2	2	2	3	3	3	2	2	3	1
